Date,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Rank,ISU_CD
2022-07-14,005930,삼성전자,KOSPI,,57500,2,-500,-0.86,57500,58200,57400,15067012,869131233435,343262496625000,5969782550,STK,1,KR7005930003
2022-07-14,373220,LG에너지솔루션,KOSPI,,399500,2,-500,-0.13,400000,404000,399000,197883,79341648000,93483000000000,234000000,STK,2,KR7373220003
2022-07-14,000660,SK하이닉스,KOSPI,,94000,3,0,0.0,92800,95500,92300,2550307,239956379900,68432222310000,728002365,STK,3,KR7000660001
2022-07-14,207940,삼성바이오로직스,KOSPI,,825000,2,-7000,-0.84,823000,829000,813000,57296,47160213000,58718550000000,71174000,STK,4,KR7207940008
2022-07-14,005935,삼성전자우,KOSPI,,53500,1,900,1.71,52500,53500,52100,658486,34724597200,44024438450000,822886700,STK,5,KR7005931001
2022-07-14,005380,현대차,KOSPI,,182500,2,-1000,-0.54,183000,184500,180500,780637,142368892696,38994444127500,213668187,STK,6,KR7005380001
2022-07-14,035420,NAVER,KOSPI,,233500,2,-4000,-1.68,232000,236000,231000,611226,142583885500,38305461347500,164049085,STK,7,KR7035420009
2022-07-14,051910,LG화학,KOSPI,,530000,1,13000,2.51,515000,533000,514000,226078,119279400000,37413941790000,70592343,STK,8,KR7051910008
2022-07-14,006400,삼성SDI,KOSPI,,541000,1,13000,2.46,537000,550000,534000,329995,179342914000,37201610730000,68764530,STK,9,KR7006400006
2022-07-14,035720,카카오,KOSPI,,72100,1,200,0.28,71000,73400,70400,1597400,114769725400,32080771781100,444948291,STK,10,KR7035720002
2022-07-14,000270,기아,KOSPI,,78800,2,-1000,-1.25,78800,79700,78200,1274628,100514162700,31942631743600,405363347,STK,11,KR7000270009
2022-07-14,068270,셀트리온,KOSPI,,189000,2,-1000,-0.53,190000,190500,186500,420165,79075958500,26605123839000,140767851,STK,12,KR7068270008
2022-07-14,028260,삼성물산,KOSPI,,113000,2,-500,-0.44,113500,115000,112500,340225,38576171500,21118240153000,186887081,STK,13,KR7028260008
2022-07-14,012330,현대모비스,KOSPI,,211500,1,1500,0.71,209500,215000,208000,307724,65447585000,20002209381000,94573094,STK,14,KR7012330007
2022-07-14,005490,POSCO홀딩스,KOSPI,,223000,2,-3500,-1.55,223000,225000,222000,310781,69387713000,19442664205000,87186835,STK,15,KR7005490008
2022-07-14,105560,KB금융,KOSPI,,45350,1,50,0.11,44950,45950,44450,1419749,64393135000,18700185602900,412352494,STK,16,KR7105560007
2022-07-14,055550,신한지주,KOSPI,,34000,2,-600,-1.73,34550,34700,33900,1855853,63497474550,17439760454000,512934131,STK,17,KR7055550008
2022-07-14,096770,SK이노베이션,KOSPI,,172500,1,6000,3.6,164500,174500,164500,573528,98292958500,15950309790000,92465564,STK,18,KR7096770003
2022-07-14,034730,SK,KOSPI,,206500,2,-2000,-0.96,206000,209500,204000,162283,33570889000,15311836438500,74149329,STK,19,KR7034730002
2022-07-14,066570,LG전자,KOSPI,,90200,2,-900,-0.99,90600,91000,89500,658582,59433953700,14761032822800,163647814,STK,20,KR7066570003
2022-07-14,323410,카카오뱅크,KOSPI,,30900,2,-700,-2.22,31000,31650,30300,1255512,38816727050,14717127303300,476282437,STK,21,KR7323410001
2022-07-14,015760,한국전력,KOSPI,,21500,2,-350,-1.6,21700,21750,21500,1384950,29880758150,13802227655500,641964077,STK,22,KR7015760002
2022-07-14,259960,크래프톤,KOSPI,,245000,1,2500,1.03,240000,250500,239500,149455,36877992000,12022651025000,49072045,STK,23,KR7259960003
2022-07-14,017670,SK텔레콤,KOSPI,,54900,2,-900,-1.61,55400,55400,54400,661139,36258631700,12013939605600,218833144,STK,24,KR7017670001
2022-07-14,003550,LG,KOSPI,,76000,2,-800,-1.04,76200,77400,76000,225050,17227593200,11954875468000,157300993,STK,25,KR7003550001
2022-07-14,032830,삼성생명,KOSPI,,57800,2,-900,-1.53,58500,58700,57200,252925,14628254500,11560000000000,200000000,STK,26,KR7032830002
2022-07-14,302440,SK바이오사이언스,KOSPI,,150000,1,7500,5.26,143000,150000,139500,1350020,195158054500,11517606900000,76784046,STK,27,KR7302440003
2022-07-14,011200,HMM,KOSPI,,23500,2,-100,-0.42,23600,23650,22450,2883047,66646584600,11492428156000,489039496,STK,28,KR7011200003
2022-07-14,091990,셀트리온헬스케어,KOSDAQ,우량기업부,71300,2,-1500,-2.06,72700,72800,70400,852401,60591720900,11276443300500,158154885,KSQ,29,KR7091990002
2022-07-14,034020,두산에너빌리티,KOSPI,,17800,1,50,0.28,17650,17950,17350,3196017,56532191700,11270997807200,633202124,STK,30,KR7034020008
2022-07-14,051900,LG생활건강,KOSPI,,720000,1,5000,0.7,705000,726000,705000,69383,49927535000,11245101840000,15618197,STK,31,KR7051900009
2022-07-14,033780,KT&G,KOSPI,,81000,2,-200,-0.25,80800,81800,80600,258756,20993572100,11120692257000,137292497,STK,32,KR7033780008
2022-07-14,086790,하나금융지주,KOSPI,,34800,2,-850,-2.38,35100,35450,34650,1749200,61252020050,10297440964800,295903476,STK,33,KR7086790003
2022-07-14,329180,현대중공업,KOSPI,,115000,2,-500,-0.43,114500,117000,112500,174931,20060281500,10208908340000,88773116,STK,34,KR7329180004
